feature,mean_abs_standardized_coefficient,mean_standardized_coefficient,sign_consistency
zero_shot_val_accuracy,0.4176871907194917,0.2633110974961466,0.0
n_5,0.21981820912962025,0.1075717875295143,0.16666666666666666
source_accuracy,0.15426242132395296,-0.1471172744261162,0.8333333333333334
zero_shot_val_loss,0.12170150438538352,0.030626248188450694,0.5
source_size,0.062456244867935135,0.05851104824601519,0.6666666666666666
