removed_feature,overall_mae,delta_mae_vs_full
zero_shot_val_accuracy,0.1266189891941817,0.03706035372010755
model (categorical),0.0964093477829621,0.006850712308887938
source_accuracy,0.09203306854696858,0.002474433072894411
n_5,0.09083152762186375,0.0012728921477895838
source_size,0.09000754259410802,0.00044890712003385624
(none: full model),0.08955863547407417,0.0
zero_shot_val_loss,0.08862993912243967,-0.000928696351634492
