removed_group,overall_mae,delta_mae_vs_full
Early validation performance,0.08271427972991426,0.022707105965399058
Source / zero-shot context,0.06861654605693582,0.00860937229242062
(none: full model),0.0600071737645152,0.0
Budget / training amount,0.056203130997034854,-0.0038040427674803437
Training dynamics,0.054963542893200344,-0.005043630871314854
