prediction_model,mae_25,mae_50,mae_100,overall_mae
three_point_log_curve,0.0397988763446336,0.050017696894303305,0.06643126488142591,0.0520826127067876
metadata_observation_ridge,0.050907171729863504,0.061584914605379994,0.06752943495830865,0.060007173764517384
metadata_observation_change_ridge,0.05743079725286943,0.07053293718402058,0.07777271000646735,0.06857881481445245
observation_ridge,0.060315100841173495,0.07236898792583923,0.08053447733486822,0.07107285536729364
metadata_observation_source_ridge,0.05973045925637208,0.07702744801037681,0.08635389486600177,0.07437060071091689
metadata_observation_adapted_ridge,0.06294273650003845,0.0782980885482203,0.08685796651306392,0.0760329305204409
metadata_observation_adapted_change_ridge,0.06770379498372703,0.0842020253340681,0.092306047879421,0.0814039560657387
mean_remaining_curve,0.12478713142700364,0.13012748659974094,0.12997360801217514,0.12829607534630658
