fold,held_out_target,prediction_model,selected_alpha,mae_25,mae_50,mae_100,overall_mae
1,art_painting,three_point_log_curve,,0.03637677342012111,0.030713617528905956,0.06750097055089009,0.04486378716663905
1,art_painting,metadata_observation_adapted_ridge,1.0,0.09884325155050021,0.08412656467405989,0.06291512448181463,0.08196164690212492
1,art_painting,metadata_observation_ridge,1.0,0.10025827364415414,0.08483218258419596,0.06159853515120158,0.0822296637931839
1,art_painting,metadata_observation_change_ridge,1.0,0.10249832872770998,0.08688210371945933,0.06484878851836229,0.08474307365517719
1,art_painting,metadata_observation_source_ridge,1.0,0.1049196292555387,0.09071002285347059,0.06192005331407188,0.08584990180769374
1,art_painting,metadata_observation_adapted_change_ridge,0.1,0.11437176609830209,0.09983375692198782,0.06954503562259667,0.09458351954762885
1,art_painting,observation_ridge,1.0,0.11819014566915091,0.11013312735196816,0.08662261770229407,0.10498196357447105
1,art_painting,mean_remaining_curve,,0.22714065373283573,0.21010748184019337,0.17408275980376509,0.20377696512559806
2,cartoon,observation_ridge,0.1,0.0232979522255149,0.029422984942522257,0.04690047143799573,0.03320713620201096
2,cartoon,three_point_log_curve,,0.027653643267030403,0.040335665838134145,0.051604739058293526,0.039864682721152685
2,cartoon,metadata_observation_ridge,10.0,0.021686262560965675,0.03965113046179978,0.060759614952816,0.040699002658527154
2,cartoon,metadata_observation_change_ridge,10.0,0.0231411328063979,0.04304232966026541,0.06417895997722278,0.0434541408146287
2,cartoon,metadata_observation_source_ridge,10.0,0.02456699990066186,0.045777846220044514,0.06709813711535172,0.04581432774535269
2,cartoon,metadata_observation_adapted_ridge,10.0,0.026084976865297566,0.04779712099408423,0.0691787902035592,0.047686962687646994
2,cartoon,metadata_observation_adapted_change_ridge,10.0,0.026614555593588118,0.04869871483097752,0.0698283332447869,0.04838053455645084
2,cartoon,mean_remaining_curve,,0.06564770012802473,0.08253438726947032,0.10100530180850736,0.08306246306866748
3,photo,metadata_observation_change_ridge,1.0,0.032567081508510815,0.05530697643973628,0.06571839934849406,0.051197485765580385
3,photo,metadata_observation_adapted_ridge,1.0,0.03215455350824414,0.05865217903880349,0.0701633574732355,0.053656696673427706
3,photo,metadata_observation_ridge,1.0,0.03269188221585376,0.05862198943713959,0.07050799721365907,0.0539406229555508
3,photo,metadata_observation_adapted_change_ridge,0.1,0.03307183238806328,0.06323849775427944,0.08147695223325337,0.05926242745853203
3,photo,metadata_observation_source_ridge,0.1,0.039682338615807285,0.0746269190809733,0.09755618716603742,0.07062181495427267
3,photo,three_point_log_curve,,0.04961584617897733,0.07851374640504682,0.09332821863211094,0.07381927040537836
3,photo,observation_ridge,10.0,0.04912619671390652,0.07986977091815269,0.10048832761297566,0.07649476508167828
3,photo,mean_remaining_curve,,0.09917187668175971,0.1126020573733326,0.1196469679250453,0.11047363399337921
4,sketch,three_point_log_curve,,0.04554924251240553,0.050507757805126306,0.053291131284409064,0.049782710533980305
4,sketch,metadata_observation_ridge,0.1,0.04899226849848045,0.06323435593838467,0.07725159251555795,0.06315940565080769
4,sketch,observation_ridge,1.0,0.05064610875612163,0.07005006849071385,0.08812649258620747,0.06960755661101432
4,sketch,metadata_observation_change_ridge,0.1,0.07151664596885905,0.09690033891662131,0.11634469218179028,0.09492055902242354
4,sketch,metadata_observation_source_ridge,0.1,0.0697528692534805,0.09699500388701883,0.11884120186854606,0.09519635833634847
4,sketch,mean_remaining_curve,,0.10718829516539441,0.11526601991596747,0.12515940251138277,0.11587123919758154
4,sketch,metadata_observation_adapted_ridge,0.001,0.09468816407611196,0.12261648948593362,0.14517459389364634,0.12082641581856397
4,sketch,metadata_observation_adapted_change_ridge,0.1,0.09675702585495462,0.12503713182902765,0.14837387041704705,0.12338934270034312
