prediction_model,mae_0,mae_5,mae_10,mae_25,mae_50,mae_100,overall_mae
metadata_ridge,0.03939516382704084,0.08493592542016576,0.08047943006342333,0.09935029095630117,0.11375758737436652,0.11943341520314761,0.08955863547407421
metadata_distance_ridge,0.05086891196383245,0.10544439163400889,0.1039888293797766,0.12283703334097416,0.13577011064136194,0.14207089784879243,0.11016336246812442
mean_curve,0.1166575753851518,0.11384129922707947,0.11153885834176192,0.12478713142700364,0.13012748659974094,0.12997360801217514,0.12115432649881881
distance_ridge,0.10893088747739722,0.11399886889101112,0.11422072997882422,0.12498912558746665,0.13669577267241628,0.14114840972414078,0.12333063238854271
