case_id,source_id,model,sources,source_count,target,seed,parameter_count,source_size,feature_dimension,mmd_rbf_squared_5,mmd_rbf_5,mmd_rbf_gamma_5,centroid_l2_5,centroid_cosine_distance_5,covariance_frobenius_5,covariance_frobenius_normalized_5,source_feature_variance_5,target_feature_variance_5,feature_variance_difference_5,feature_mean_absolute_difference_5,feature_std_absolute_difference_5,mmd_rbf_squared_10,mmd_rbf_10,mmd_rbf_gamma_10,centroid_l2_10,centroid_cosine_distance_10,covariance_frobenius_10,covariance_frobenius_normalized_10,source_feature_variance_10,target_feature_variance_10,feature_variance_difference_10,feature_mean_absolute_difference_10,feature_std_absolute_difference_10
cnn3_art_painting-cartoon_seed387_to_photo,cnn3_art_painting-cartoon_seed387,cnn3,art_painting|cartoon,2,photo,387,94151,3073,128,0.1407029990648782,0.3751039843361815,0.6748663604390339,0.3931885224104329,0.1056144297544511,0.0953590210105482,0.0007449923516449,0.3777393622935801,0.2313274415760504,0.1464119207175296,0.0216700692447883,0.0144521819944406,0.1144450574042941,0.3382972914527902,0.6749405734041947,0.3611790086686826,0.0910819278161731,0.089235133654592,0.0006971494816765,0.3777393622935801,0.2518843825771072,0.1258549797164729,0.0203887893870343,0.0124304727254373
cnn3_art_painting-cartoon_seed387_to_sketch,cnn3_art_painting-cartoon_seed387,cnn3,art_painting|cartoon,2,sketch,387,94151,3073,128,0.347301805097483,0.589323175428799,0.6589552502757278,0.6317070065374285,0.2482694395059056,0.114761837801031,0.0008965768578205,0.3777393622935801,0.0956275369107307,0.2821118253828493,0.0371155542962772,0.0272127541176635,0.3513119915704219,0.59271577638057,0.6679118966965601,0.6337271779214289,0.2516644720539366,0.1153504790137556,0.0009011756172949,0.3777393622935801,0.1020195018730616,0.2757198604205185,0.0373249586618747,0.026609095859924
cnn3_art_painting-cartoon_seed42_to_photo,cnn3_art_painting-cartoon_seed42,cnn3,art_painting|cartoon,2,photo,42,94151,3073,128,0.0969522453455555,0.3113715551323781,0.6915392940391344,0.3374772945455613,0.0820500731671169,0.0863033685812011,0.0006742450670406,0.3744825033658201,0.2818263271203111,0.092656176245509,0.0183182117323437,0.0115529675318481,0.0826084084534208,0.287416785267355,0.6975581991722465,0.3109163231778482,0.0713073616899456,0.0788288698419369,0.0006158505456401,0.3744825033658201,0.3009176901765069,0.0735648131893131,0.0173686126496097,0.0101905513432631
cnn3_art_painting-cartoon_seed42_to_sketch,cnn3_art_painting-cartoon_seed42,cnn3,art_painting|cartoon,2,sketch,42,94151,3073,128,0.2885692887904734,0.5371864562612068,0.7235780113448725,0.5458212351918101,0.181144439313587,0.1013816379471134,0.0007920440464618,0.3744825033658201,0.0969510874628886,0.2775314159029314,0.0336157466504895,0.026408704848701,0.2841958197213239,0.533100196699761,0.7410196995128873,0.5493486205415352,0.1854186795219224,0.1020492051395361,0.0007972594151526,0.3744825033658201,0.1046258392685963,0.2698566640972237,0.0340624897447498,0.025937244060292
cnn3_art_painting-photo_seed387_to_cartoon,cnn3_art_painting-photo_seed387,cnn3,art_painting|photo,2,cartoon,387,94151,2602,128,0.1968617332575506,0.4436910335555031,0.9143948758770608,0.4214747118874973,0.1155411829330842,0.0585241717204796,0.0004572200915662,0.2816236451857478,0.2008661727518875,0.0807574724338602,0.0265790902371291,0.0112302829961161,0.1771583920981636,0.4209018794186641,0.8976304492218883,0.4033819664248266,0.1080826318201756,0.0539630792479129,0.0004215865566243,0.2816236451857478,0.223946792636089,0.0576768525496587,0.0258604543510401,0.009366963879363
cnn3_art_painting-photo_seed387_to_sketch,cnn3_art_painting-photo_seed387,cnn3,art_painting|photo,2,sketch,387,94151,2602,128,0.4372595464564348,0.6612560369905404,0.7995567472821848,0.640342642016296,0.2436341105189892,0.0760586703266509,0.0005942083619269,0.2816236451857478,0.0762218937932234,0.2054017513925243,0.0401503188980779,0.023960694380363,0.4377053792151149,0.6615930616437229,0.8189733470452968,0.6496863147208163,0.2523287069520372,0.0770829923451312,0.0006022108776963,0.2816236451857478,0.0822016809600766,0.1994219642256711,0.0406572507473599,0.0233849515937497
cnn3_art_painting-photo_seed42_to_cartoon,cnn3_art_painting-photo_seed42,cnn3,art_painting|photo,2,cartoon,42,94151,2602,128,0.2475477678480184,0.4975417247307189,0.996407187417768,0.4527053795352234,0.1288078516431841,0.0485148996536492,0.0003790226535441,0.2507769966159228,0.1737668231129547,0.077010173502968,0.0263545487005489,0.0098889661674972,0.2204665771681913,0.469538685486288,0.9842294042297768,0.425091437005432,0.115992717232243,0.0481702086948688,0.0003763297554286,0.2507769966159228,0.1994220539720581,0.0513549426438646,0.0251478160784634,0.00834737059196
cnn3_art_painting-photo_seed42_to_sketch,cnn3_art_painting-photo_seed42,cnn3,art_painting|photo,2,sketch,42,94151,2602,128,0.5471617746692892,0.7397038425405732,0.915872581038806,0.6840009483037186,0.2730750724360344,0.0699117590219124,0.0005461856173586,0.2507769966159228,0.0641802752201337,0.186596721395789,0.0406675906727453,0.0234485516199883,0.5162221751246776,0.7184860298744002,0.8520770148304546,0.6924661282945869,0.2809792383745858,0.0712022483728556,0.0005562675654129,0.2507769966159228,0.0684276958758058,0.1823493007401169,0.0412530828591048,0.0231672211823782
cnn3_art_painting-sketch_seed387_to_cartoon,cnn3_art_painting-sketch_seed387,cnn3,art_painting|sketch,2,cartoon,387,94151,4183,128,0.0942997244535404,0.3070826020039891,0.8356549134896326,0.2697627147877171,0.0466761031255859,0.1181865496433823,0.0009233324190889,0.3181628167914145,0.2101244084043451,0.1080384083870694,0.0160237235759286,0.0108631271345139,0.1127758427879408,0.3358211470231451,0.895831078812825,0.2619924498195035,0.0456082464426431,0.1133370493196141,0.0008854456978094,0.3181628167914145,0.2327172483217555,0.085445568469659,0.0158961522931263,0.0099999956742731
cnn3_art_painting-sketch_seed387_to_photo,cnn3_art_painting-sketch_seed387,cnn3,art_painting|sketch,2,photo,387,94151,4183,128,0.2975151396283249,0.545449484029754,0.7438268134550189,0.5759010547005334,0.2240513908164996,0.142145203545808,0.0011105094027016,0.3181628167914145,0.2180960321217126,0.1000667846697019,0.0332873512174105,0.0149936043669233,0.2483304310891769,0.4983276342820825,0.691320460368256,0.5521880878473494,0.2090270925078932,0.1361502622014273,0.0010636739234486,0.3181628167914145,0.2347240511395302,0.0834387656518843,0.0323074954791138,0.0140462607059823
